00JQS,5r1k/pb3Qpp/2p5/5p2/3P4/8/PPP2PPP/4R1K1 b - - 0 21,f8f7 e1e8 f7f8 e8f8,600,86,76,602,backRankMate endgame mate mateIn2 short,https://lichess.org/jB9KjawU/black#42
00fgg,4r1k1/p4ppp/8/8/8/8/PP1b1PPP/K2R4 w - - 0 21,d1d2 e8e1 d2d1 e1d1,600,90,63,177,backRankMate endgame mate mateIn2 rookEndgame short,https://lichess.org/AjVJZKD1#41
01337,1k1r4/ppp3r1/8/P1b5/4R3/7P/1PP5/R6K b - - 0 25,d8d2 e4e8 d2d8 e8d8,600,92,89,352,backRankMate endgame mate mateIn2 short,https://lichess.org/rf2MrMXn/black#50
00kQE,1rb3k1/p5pp/1p6/3R4/2B1p3/8/PP3rPP/1K5R b - - 1 26,g8h8 d5d8 f2f8 d8f8,600,94,88,584,backRankMate endgame mate mateIn2 short,https://lichess.org/X9v1Mn91/black#52
00JS1,2r5/1p2k1pp/4p3/1N3p2/5P2/P2nP3/1R4PP/6K1 w - - 0 24,b2d2 c8c1 d2d1 c1d1,600,99,88,566,endgame mate mateIn2 short,https://lichess.org/ROJJOhHY#47
01MPw,3r4/p1k3q1/1p2p2p/2p1n1p1/2P1N3/P2R2Q1/1P3PPP/6K1 w - - 1 29,d3e3 d8d1 e3e1 d1e1,628,95,62,147,backRankMate endgame mate mateIn2 short,https://lichess.org/XVfpxq4Y#57
0042j,3r2k1/4nppp/pq1p1b2/1p2P3/2r2P2/2P1NR2/PP1Q2BP/3R2K1 b - - 0 24,d6e5 d2d8 b6d8 d1d8,634,83,96,289,backRankMate mate mateIn2 middlegame short,https://lichess.org/DuM2FZjg/black#48
019yp,5r1k/p1q3pp/2p1Q1p1/8/8/5RN1/P1P3P1/6K1 b - - 1 26,f8f3 e6e8 f3f8 e8f8,650,96,76,90,endgame mate mateIn2 short,https://lichess.org/gLC1NwZX/black#52
00dpQ,6k1/5ppp/8/4rP2/1r4P1/2RK3P/8/7B b - - 0 47,b4b5 c3c8 e5e8 c8e8,666,96,85,177,backRankMate endgame mate mateIn2 short,https://lichess.org/8DGDxXX7/black#94
01Uff,8/5p2/2rk4/3b4/7P/3Q2P1/5P2/6K1 w - - 3 48,d3h7 c6c1 g1h2 c1h1,704,82,100,183,endgame mate mateIn2 short,https://lichess.org/FkmFi9a3#95
008GK,1k1r4/ppp3p1/8/1P5p/8/P3n2P/2P1r1P1/B3NRK1 b - - 4 31,d8d1 f1f8 d1d8 f8d8,705,92,95,567,backRankMate endgame mate mateIn2 short,https://lichess.org/9vFFDYsH/black#62
005N7,r6k/2q3pp/8/2p1n3/R1Qp4/7P/2PB1PP1/6K1 b - - 0 32,e5c4 a4a8 c7b8 a8b8,721,93,93,957,backRankMate endgame hangingPiece mate mateIn2 short,https://lichess.org/jxZhmGhg/black#64
01Jrn,5rk1/3q1r1p/1p1bQ1p1/8/1P4R1/7P/3N2P1/5R1K w - - 5 34,e6d7 f7f1 d2f1 f8f1,760,80,100,451,mate mateIn2 middlegame short,https://lichess.org/eRVQUz9d#67
0061g,6k1/pp3pp1/2p1q1Pp/3b4/8/6Q1/PB3Pp1/3RrNK1 b - - 2 27,e1d1 g3b8 e6e8 b8e8,773,90,72,249,endgame mate mateIn2 short,https://lichess.org/dJ3xEKJK/black#54
01TXv,Q1bk3r/2p2pNp/8/3PP3/2p3q1/B1P5/6BP/7K w - - 3 33,a8c6 g4d1 g2f1 d1f1,790,85,78,316,mate mateIn2 middlegame short,https://lichess.org/WeILnMLY#65
00MS3,rn1qr1k1/1p2bppp/2p2B2/p2p4/3P4/2N2N2/PPP1QPPP/2KRR3 b - - 0 12,e7f6 e2e8 d8e8 e1e8,824,83,81,120,backRankMate mate mateIn2 middlegame short,https://lichess.org/Eia6KIcR/black#24
01WCP,6k1/p5p1/2R3P1/3pr3/8/4P3/P7/5K2 b - - 0 32,e5e7 c6c8 e7e8 c8e8,884,99,77,45,endgame mate mateIn2 rookEndgame short,https://lichess.org/GEde9LIh/black#64
00aBq,r2r2k1/pp3ppp/1qn2b2/3R4/4QB2/1P3N2/P4PPP/4R1K1 b - - 0 18,d8d5 e4e8 a8e8 e1e8,920,77,88,295,backRankMate mate mateIn2 middlegame sacrifice short,https://lichess.org/0AybhVJm/black#36
00Ru6,3r1r2/p5kp/1p4pP/2p5/2PbBQ2/2q5/P1P1K3/5R2 b - - 0 34,g7h8 f4f8 d8f8 f1f8,938,82,80,68,mate mateIn2 middlegame short,https://lichess.org/SA1K2pZD/black#68
00Keu,R7/1p3kp1/2pK3p/3p1PP1/1r1B2nP/8/1P6/8 b - - 2 39,b4d4 g5g6 f7f6 a8f8,943,76,100,389,endgame mate mateIn2 short,https://lichess.org/hCWa2OUn/black#78
